관광지명,관광지구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,지정일자,수용인원수,주차가능수,데이터기준일자,,
동달공원,어린이공원,,경상남도 통영시 용남면 동달리 1007,34.86841654,128.4426325,2884,,,,,,,,,,,,
도남2공원,어린이공원,경상남도 통영시 데메3길 37-30,경상남도 통영시 도남동 484-1,34.8277235,128.4224514,1928,,,,,,,,,,,,
노산공원,어린이공원,,경상남도 통영시 광도면 노산리 386-7,34.89936594,128.4061218,557,,,,,,,,,,,,
죽림2공원,어린이공원,,경상남도 통영시 광도면 죽림리 889-4,34.87614485,128.4085122,1613,,,,,,,,,,,,
원문공원,어린이공원,,경상남도 통영시 광도면 죽림리 562,34.87239402,128.4166536,7489,,,,,,,,,,,,
미수1공원,어린이공원,,경상남도 통영시 미수동 633,34.82275818,128.3951622,1644,,,,,,,,,,,,
미수2공원,어린이공원,,경상남도 통영시 미수동 732,34.82536915,128.3989354,2390,,,,,,,,,,,,
도남1공원,어린이공원,경상남도 통영시 서송정2길 25,경상남도 통영시 봉평동 81-1,34.83148034,128.4205355,1558,,,,,,,,,,,,
호암공원,어린이공원,경상남도 통영시 광도면 예포길 290,경상남도 통영시 광도면 안정리 413,34.93858465,128.4231962,5053,,,,,,,,,,,,
북신1공원,어린이공원,,경상남도 통영시 무전동 1064,34.86200912,128.4269692,2210,,,,,,,,,,,,
북신2공원,어린이공원,,경상남도 통영시 무전동 1015-2,34.8588362,128.421736,2740,,,,,,,,,,,,
황리4공원,어린이공원,,경상남도 통영시 광도면 황리 1252,34.95762241,128.4078006,1850,,,,,,,,,,,,
죽림5공원,어린이공원,,경상남도 통영시 광도면 죽림리 1568,34.88344862,128.4159328,2598,,,,,,,,,,,,
죽림3공원,어린이공원,,경상남도 통영시 광도면 죽림리 1577-2,34.87837015,128.4142225,3281,,,,,,,,,,,,
죽림4공원,어린이공원,,경상남도 통영시 광도면 죽림리 1576,34.88165592,128.4155737,5849,,,,,,,,,,,,
죽림6공원,어린이공원,,경상남도 통영시 광도면 죽림리 1570-12,34.88535849,128.4187625,7248,,,,,,,,,,,,
죽림7공원,어린이공원,,경상남도 통영시 광도면 죽림리 1582-3,34.87580654,128.4204447,2480,,,,,,,,,,,,
죽림제8공원,어린이공원,,경상남도 통영시 광도면 죽림리 713-3,34.86592949,128.4116443,4239,,,,,,,,,,,,
죽림제9공원,어린이공원,,경상남도 통영시 광도면 죽림리 661-2,34.86867682,128.4149284,3217,,,,,,,,,,,,
한산대첩병선마당공원,역사공원,,경상남도 통영시 항남동 129-2,34.84040523,128.4246281,8590,,,,,,,,,,,,
산양공원,체육공원,,경상남도 통영시 산양읍 남평리 754,34.80031829,128.396332,250287,,,,,,,,,,,,
통영옻칠미술관,미술관,경상남도 통영시 용남면 용남해안로 36,경상남도 통영시 용남면 화삼리 658,34.85467741,128.4429183,,,,,,,,,,,,,
전혁림미술관,미술관,경상남도 통영시 봉수1길 10(봉평동),경상남도 통영시 봉평동 189-1,34.82651379,128.4151206,,,,,,,,,,,,,
통영시립박물관,박물관,경상남도 통영시 중앙로 65(도천동),경상남도 통영시 도천동 28,34.84075153,128.4167887,,,,,,,,,,,,,
황령산관광지,관광지,부산광역시 수영구 황령산로 156,부산광역시 수영구 광안동 산 60-1,35.1552432,129.1029084,174890,관리사무소+화장실+주차장,,,,,,1987-03-02,10000,80,2021-06-22,,
강변공원,어린이공원,,부산광역시 수영구 망미동 198-1,35.178768,129.116922,1316,,,,,,,,,,,,
과정공원,어린이공원,,부산광역시 수영구 망미동 417-1,35.172688,129.099203,631,,,,,,,,,,,,
파랑새공원,어린이공원,,부산광역시 수영구 광안동 180-1,35.151962,129.112905,827.7,,,,,,,,,,,,
수영공원,근린공원,,부산광역시 수영구 수영동 231,35.171212,129.1139531,23284,,,,,,,,,,,,
햇살공원,어린이공원,,부산광역시 수영구 망미동 824-8,35.172688,129.099203,633,,,,,,,,,,,,
광안공원,근린공원,,부산광역시 수영구 광안동 260-2,35.153412,129.118511,65280,,,,,,,,,,,,
널구지공원,어린이공원,,부산광역시 수영구 민락동 336-43,35.163112,129.129053,1500,,,,,,,,,,,,
수변공원,어린이공원,,부산광역시 수영구 민락동 110-18,35.155489,129.134419,4189,,,,,,,,,,,,
호암공원,근린공원,,부산광역시 수영구 광안동 743-5,35.158241,129.111606,5048,,,,,,,,,,,,
망미공원,근린공원,,부산광역시 수영구 망미동 640-13,35.173911,129.104591,7789,,,,,,,,,,,,
망미공원,어린이공원,,부산광역시 수영구 망미동 640-11,35.174211,129.107111,2226,,,,,,,,,,,,
늘푸른공원,어린이공원,,부산광역시 수영구 남천동 152,35.141811,129.113478,2045,,,,,,,,,,,,
백산어린이공원,어린이공원,,부산광역시 수영구 민락동 770,35.164859,129.122931,2535,,,,,,,,,,,,
광안1동 소공원,소공원,,부산광역시 수영구 광안동 1302-9,35.164941,129.110943,22,,,,,,,,,,,,
너울공원,어린이공원,,부산광역시 수영구 민락동 779,35.167248,129.1208004,6599.8,,,,,,,,,,,,
해오름공원,소공원,,부산광역시 수영구 망미동 1163,35.177931,127.101011,1999.7,,,,,,,,,,,,
배산공원,소공원,,부산광역시 수영구 망미동 1169,35.177225,129.101685,1424.5,,,,,,,,,,,,
만남의 공원,소공원,,부산광역시 수영구 망미동 1184,35.173341,129.102196,259.4,,,,,,,,,,,,
희망공원,소공원,,부산광역시 수영구 망미동 1181,35.174071,129.102578,88.3,,,,,,,,,,,,
요트올림픽동산지구,관광지,부산광역시 해운대구 APEC로 30,부산광역시 해운대구 우동 1413-4,35.16578256,129.1350266,117.958,"관리사무소 1동, 공중화장실 3동, 도로포장, 원형분수 1개소, 연못 1개소, 파고라 1동, 기념동산 1개소,  녹지 1개소,",없음,"놀이광장 1개소, 잔디광장 1개소, 산책로   1개소, 놀이마당 1개소, 어린이놀이터 1개소, 수영장 1동",식물원 1개소+야외전시장,없음,없음,1988-07-19,800000,398,2020-12-10,,
동백섬,관광지,부산광역시 해운대구 동백로 116,부산광역시 해운대구 우동 714-1,35.15234205,129.1513619,93.649,"공중화장실 2동, 도로, 전망대 1개소, 수목 및 잔디 1개소",관광호텔 1동,없음,관광유람선 1개소,없음,없음,1988-07-19,700000,101,2020-12-10,,
해운대해수욕장,관광지,부산광역시 해운대구 해운대해변로 264,부산광역시 해운대구 우동 620-3,35.15910698,129.1602838,115.944,"도로, 광장, 공중화장실 4동, 주차장 1개소, 관리사무소 1동, 변전실 1동,",없음,없음,해저  테마수족관,없음,없음,1988-07-19,800000,203,2020-12-10,,
달맞이동산지구,관광지,부산광역시 해운대구 달맞이길 190,부산광역시 해운대구 중동 산 42-20,35.15768146,129.1825429,85.845,"공중화장실 2동, 관리사무소 1동, 광장, 도로 및 주차장,",없음,없음,망월정 1동,없음,없음,1988-07-19,700000,76,2020-12-10,,
판소리(수궁가),무형문화유적,,서울특별시 강남구 논현동 13-14,37.51612267,127.0229118,,,,,,,,,,,,,
봉화산 도당굿,무형문화유적,,서울특별시 강남구 대치동 916-80,37.50100324,127.057035,,,,,,,,,,,,,
봉산탈춤,무형문화유적,,서울특별시 강남구 삼성동 112-2,37.51009307,127.044621,,,,,,,,,,,,,
선소리산타령,무형문화유적,,서울특별시 강남구 삼성동 112-2,37.51009307,127.044621,,,,,,,,,,,,,
가야금산조및병창,무형문화유적,,서울특별시 강남구 압구정동 426,37.52678501,127.0244542,,,,,,,,,,,,,
가야금산조및병창,무형문화유적,,서울특별시 강남구 세곡동,37.469218,127.107641,,,,,,,,,,,,,
승무,무형문화유적,,서울특별시 강남구 자곡동,37.474592,127.095309,,,,,,,,,,,,,
강령탈춤,무형문화유적,,서울특별시 강남구 역삼동 683-2,37.5088515,127.043817,,,,,,,,,,,,,
대목장,무형문화유적,,서울특별시 강남구 개포동 649,37.48541081,127.0547048,,,,,,,,,,,,,
입사장,무형문화유적,,서울특별시 강남구 삼성동,37.514422,127.056548,,,,,,,,,,,,,
서울새남굿,무형문화유적,,서울특별시 강남구 삼성동 112-2,37.51009307,127.044621,,,,,,,,,,,,,
전주이씨 광평대군파 묘역,유형문화유적,,서울특별시 강남구 수서동 산10-1,37.48651921,127.092166,,,,,,,,,,,,,
봉은사 선불당,유형문화유적,,서울특별시 강남구 삼성동 73,37.5158257,127.0577345,,,,,,,,,,,,,
홍무25년장흥사명동종,유형문화유적,,서울특별시 강남구 삼성동 73,37.5158257,127.0577345,,,,,,,,,,,,,
봉은사판전현판,유형문화유적,,서울특별시 강남구 삼성동 73,37.5158257,127.0577345,,,,,,,,,,,,,
대방광불화엄경수소연의초목판,유형문화유적,,서울특별시 강남구 삼성동 73,37.5158257,127.0577345,,,,,,,,,,,,,
봉은사목사천왕상,유형문화유적,,서울특별시 강남구 삼성동 73,37.5158257,127.0577345,,,,,,,,,,,,,
"봉은사목삼불상(석가불,아미타불,약사불)",유형문화유적,,서울특별시 강남구 삼성동 73,37.5158257,127.0577345,,,,,,,,,,,,,
"봉은사목삼존불상(석가불,가섭존자,아난존자)",유형문화유적,,서울특별시 강남구 삼성동 73,37.5158257,127.0577345,,,,,,,,,,,,,
봉은사 목십육나한상,유형문화유적,,서울특별시 강남구 삼성동 73,37.5158257,127.0577345,,,,,,,,,,,,,
봉은사대웅전신중도,유형문화유적,,서울특별시 강남구 삼성동 73,37.5158257,127.0577345,,,,,,,,,,,,,
봉은사판전신중도,유형문화유적,,서울특별시 강남구 삼성동 73,37.5158257,127.0577345,,,,,,,,,,,,,
봉은사괘불도,유형문화유적,,서울특별시 강남구 삼성동 73,37.5158257,127.0577345,,,,,,,,,,,,,
봉은사비로자나불도,유형문화유적,,서울특별시 강남구 삼성동 73,37.5158257,127.0577345,,,,,,,,,,,,,
봉은사칠성도,유형문화유적,,서울특별시 강남구 삼성동 73,37.5158257,127.0577345,,,,,,,,,,,,,
봉은사삼세불도,유형문화유적,,서울특별시 강남구 삼성동 73,37.5158257,127.0577345,,,,,,,,,,,,,
봉은사삼장보살도,유형문화유적,,서울특별시 강남구 삼성동 73,37.5158257,127.0577345,,,,,,,,,,,,,
봉은사감로도,유형문화유적,,서울특별시 강남구 삼성동 73,37.5158257,127.0577345,,,,,,,,,,,,,
봉은사영산회상도,유형문화유적,,서울특별시 강남구 삼성동 73,37.5158257,127.0577345,,,,,,,,,,,,,
봉은사십육나한도,유형문화유적,,서울특별시 강남구 삼성동 73,37.5158257,127.0577345,,,,,,,,,,,,,
인천해관문서,유형문화유적,,서울특별시 강남구 논현동 71,37.5183196,127.0337788,,,,,,,,,,,,,
삼강행실도,유형문화유적,,서울특별시 강남구 역삼동 736-1,37.49974405,127.0349215,,,,,,,,,,,,,
선종유심결등합철,유형문화유적,,서울특별시 강남구 압구정동 481,37.53192115,127.0355385,,,,,,,,,,,,,
