관광숙박업 등록현황 (20.12.31기준),,,,,,,,,,,,,,
번호,"지역1
(시도)","지역2
(시군구)",업종,호텔명(등록명칭),"관광사업자명
(법인명 or 개인명)","영업상태
(19.12.31기준)",현행 호텔등급,,시설개요,,,객실수,주소(도로명주소),부대시설
,,,,,,,등급,등급부여일,층수(지하~지상),"대지면적
(㎡)","건축연면적
(㎡)",,,
26,강원,속초시,관광호텔,더클래스 300 멤버쉽,더클래스호텔 주식회사,영업중,3성급,2019.05.30.,지하3~지상15,"2,260 ","1,449 ",306 ,강원도 속초시 동해대로 3915 (조양동),
27,강원,속초시,관광호텔,롯데리조트 속초,주식회사 호텔롯데,영업중,4성급,2018.04.13.,지하3~지상9,"69,795 ","95,208 ",173 ,강원도 속초시 대포항길 186 (대포동),"음식점, 카페, 연회장, 웨딩홀 등"
28,강원,삼척시,관광호텔,쏠비치 호텔 삼척,최주영,영업중,4성급,2018.05.31,지하1층 ~ 지상 8층,"110,254 ","22,315 ",216 ,강원도 삼척시 수로부인길 453 (갈천동),"연회장(대,중,소), 한식당 등"
29,강원,홍천군,관광호텔,소노문 비발디파크,㈜소노호텔앤리조트,영업중,4성급,2019-06-10,지하1층 ~ 지상 10층,"5,839 ","8,047 ",79 ,강원도 홍천군 서면 한치골길 262,
30,강원,평창군,관광호텔,드래곤밸리리조트(용평리조트),㈜용평리조트,영업중,기간만료,,지하1층 ~ 지상9층,"33,923 ","24,402 ",195 ,강원도 평창군 대관령면 올림픽로 715,"로비라운지, 한식당, 양식당, 비즈니스센터 등"
31,강원,평창군,관광호텔,켄싱턴 플로라호텔,㈜이랜드파크,영업중,등급보류,19.12.26.,지하1층-지상17층,"27,980 ","582,257 ",258 ,강원도 평창군 진부면 간평리 221-1 ,"한식당,카페(양식당),수영장,사우나,헬스장, 그랜드볼룸1,2(대연회장), 엘리제1,2,3(소연회장)"
32,강원,평창군,관광호텔,인터컨티넨탈알펜시아평창리조트,강원도개발공사,영업중,5성급,2020.03.30.,지하1층-지상7층,"26,775 ","29,738 ",238 ,강원도 평창군 대관령면 솔봉로 325,"스파,사우나,헬스장,키즈카페,기념품점, 식당,카페,회의실"
33,강원,평창군,관광호텔,홀리데이인리조트,강원도개발공사,영업중,5성급,2020.03.30.,지하1층-지상7층,"22,071 ","39,402 ",214 ,강원도 평창군 대관령면 솔봉로 325,"영화상영관,면세점,식당,커피숍,회의실,스넥바"
34,강원,평창군,관광호텔,휘닉스 호텔,휘닉스중앙㈜,영업중,4성급,2019.07.04.,지하1층- 지상11,"10,115 ","19,213 ",141 ,강원도 평창군 봉평면 면온리 1094,"식당, 연회장, 미용실, 테니스장 등"
35,강원,평창군,관광호텔,서림관광호텔,박정숙,영업중,1성급,2019.07.04.,지하1층-지상5층,974 ,"2,258 ",35 ,강원도 평창군 진부면 청송로 109,"목욕장, 커피숍, 음식점"
36,강원,정선군,관광호텔,하이원 그랜드호텔카지노,강원랜드,영업중,5성급,2019.12.20,지하1층 ~ 지상5층,"53,955 ","24,607 ",197 ,강원도 정선군 고한읍 고한7길 399,"사우나, 더샵"
37,강원,정선군,관광호텔,하이원 팰리스호텔,강원랜드,휴업,4성급,207.11.07,지상 22층,"441,622 ","276,043 ",727 ,강원도 정선군 사북읍 하이원길 265,"사우나&수영장, 기프트숍, 휘트니스, 카페, 페스타숍, 약국, 카사시네마"
38,강원,정선군,관광호텔,이코노미호텔,박정숙,영업중,,,지하2층~지상8층,856 ,444 ,50 ,강원도 정선군 남면 무릉4로 2,
39,강원,철원군,관광호텔,한탄리버스파호텔,㈜귀뚜라미랜드,영업중,3성급,2019.12.12.,지하1층~지상3층,"19,878 ","10,228 ",68 ,강원도 철원군 동송읍 태봉로 1799-22,"휴게음식점, 일반음식점, 목욕탕, 연회장, 로비 및 프론트, 노래연습장, 세탁실"
40,강원,양구군,관광호텔,양구KCP호텔,경화수,영업중,2성급,2020.02.21.,지하1층~지상4층 ,"6,490 ","4,702 ",48 ,강원도 양구군 양구읍 파로호로 993-19,"노래방, 연회장 등"
41,강원,인제군,관광호텔,인제스피디움호텔,"윤제연, 김춘수",영업중,4성급,2016.11.11.,지하1층~지상7층 ,"14,809 ","3,678 ",134 ,강원도 인제군 기린면 상하답로 130,
42,강원,양양군,관광호텔,쏠비치 호텔 양양,㈜소노호텔앤리조트,영업중,4성급,2018.3.8.,지하2층~지상6층 ,"49,060 ","37,363 ",284 ,양양군 손양면 선사유적로 678,"음식점, 카페, 연회장, 아쿠아리움, 사우나 등"
43,강원,양양군,관광호텔,베니키아호텔 산과바다 양양,㈜동궁 주식회사,영업중,2성급,2018.7.13,지하1층~지상6층 ,"1,586 ","1,927 ",34 ,양양군 강현면 동해대로 3393,식당
44,강원,평창군,한국전통관광호텔,고려궁전통한옥호텔,최규옥,영업중,4성급,2018.03.07.,지상 3층,"9,797 ","2,237 ",16 ,강원도 평창군 대관령면 올림픽로 1169,"박물관, 연회장, 카페, 전통혼례식장 등"
45,강원,춘천시,가족호텔,호텔공지천,변병건,영업중,,,지하1층~지상5층 ,"4,957 ","5,858 ",32 ,춘천시 삼천동 13-1,"편의점, 음식점"
46,강원,강릉시,가족호텔,주문진리조트,음덕성,영업중,,,"(지하1층, 지상5층)","33,722 ","6,900 ",70 ,강릉시 주문진읍 해안로 2070,노래연습장 등
47,강원,강릉시,가족호텔,썬크루즈호텔&리조트,박기열,영업중,,,"(지하1층,지상10층)","112,064 ","16,388 ",105 ,강릉시 강동면 헌화로 950-39,
48,강원,동해시,가족호텔,망상해오름가족호텔,장영두,영업중,,,지상4층 ,"2,841 ","1,996 ",35 ,강원 동해시 동해대로 6188,음식점
49,강원,속초시,가족호텔,베니키아호텔 산과바다 속초,동궁이유엠 주식회사,영업중,,,지하1~지상7 ,"54,124 ","6,921 ",60 ,강원도 속초시 동해대로 3707 (대포동),"음식점, 카페"
50,강원,속초시,가족호텔,더케이호텔앤리조트(주) 더케이설악산가족호텔,더케이호텔앤리조트 주식회사,영업중,,,지하1~지상3 ,"2,451 ","8,509 ",77 ,강원도 속초시 설악산로 470-7 (도문동),"음식점, 카페"
51,강원,속초시,가족호텔,호텔굿모닝,주식회사 굿모닝,영업중,,,지하1~지상10,770 ,"4,987 ",88 ,강원도 속초시 해오름로 204 (조양동),"비즈니스센터, 음식점"
52,강원,홍천군,가족호텔,LK HOTEL,김명옥 외1명,영업중,,,지하1층~지상5층 ,"1,673 ","1,887 ",33 ,강원도 홍천군 홍천읍 남산강변로 55,음식점
53,강원,홍천군,가족호텔,화양강호텔,화양강호텔 주식회사,영업중,,,지하1층~지상4층 ,"1,374 ","1,988 ",30 ,강원도 홍천군 홍천읍 소옥개로 142,
54,강원,홍천군,가족호텔,세이지우드 호텔 홍천,와이케이디벨롭,영업중,,,지하4층~지상3층 ,"64,694 ","43,140 ",38 ,강원도 홍천군 두촌면 광석로 898-87,"목욕탕, 피트니스, 레스토랑 등"
55,강원,평창군,가족호텔,㈜현대엘리엇호텔앤드리조트,주식회사 현대엘리엇호텔앤드리조트,영업중,,,지상 7층,"11,638 ","8,167 ",51 ,강원도 평창군 대관령면 경강로 4887-5,"한식당, 대강당, 소강당"
56,강원,정선군,가족호텔,골든메이플관광호텔,이용석,영업중,,,12층(지하2층~지상10층),987 ,"5,275 ",54 ,강원도 정선군 남면 무릉1로 85,"사우나, 카페테리아"
57,강원,정선군,가족호텔,엘스호텔,이관순 외1,영업중,,,10층(지하1층~지상9층),334 ,"1,769 ",46 ,강원도 정선군 사북읍 사북1길 21,
58,강원,고성군,가족호텔,소노캄 호텔 델피노,㈜소노호텔앤리조트,영업중,,,지하1층~지상4층,"27,760 ","5,648 ",84 ,강원도 고성군 토성면 미시령옛길 1153,"연회장, 음식점, 사우나, 비즈니스센터 등"
59,강원,고성군,가족호텔,레이크오션 가족호텔,㈜잼버리리조트,영업중,,,지하1층~지상7층,"12,517 ","17,866 ",203 ,강원도 고성군 토성면 잼버리동로 583-20,"세미나실, 레스토랑, 커피숍 등"
60,강원,양양군,가족호텔,오색그린야드호텔,이종균,영업중,,,지하3층~지상5층 ,"13,150 ","37,736 ",155 ,양양군 서면 대청봉길 34,"일반음식점, 사우나, 찜질방 등"
61,강원,춘천시,호스텔,봄엔게스트하우스,동네방네협동조합,영업중,,,지상1층 ,167 ,530 ,4 ,춘천시 근화동 264-32,휴게실
62,강원,춘천시,호스텔,에스파스호스텔,박형우,영업중,,,지하1층~지상4층 ,489 ,764 ,23 ,춘천시 효자동 683-8,커뮤니티룸
63,강원,강릉시,호스텔,게스트하우스 안도,"조우석, 이지연",영업중,,,"(지하1층, 지상2층)",167 ,167 ,4 ,강릉시 율곡로 2899-1(교동 191-22번지),"공용모임공간, 인포메이션공간"
64,강원,강릉시,호스텔,썬앤제이드,최규옥,영업중,,,"(지하1층, 지상2층)","8,005 ","1,490 ",9 ,강릉시 옥계면 헌화로 189,
65,강원,동해시,호스텔,아라비카 호스텔,장양순,영업중,,,지하1층~지상3층 ,517 ,"1,093 ",3 ,강원 동해시 동굴로 138,"문화교류공간, 커피숍 등"
66,강원,동해시,호스텔,이스트하우스 호스텔,김철문,영업중,,,지상3층 ,719 ,669 ,18 ,강원 동해시 동해대로 6267,"일반음식점, 커뮤니티실, 공용취사장"
67,강원,속초시,호스텔,화이트스테이션 호스텔,최영,영업중,,,지상3,233 ,346 ,9 ,강원도 속초시 미리내길 17-1 (청호동),"음식점, 사무실"
68,강원,속초시,호스텔,스테이호스텔,주옥희 외 1 명,영업중,,,지상7,220 ,953 ,24 ,강원도 속초시 설악금강대교로 193 (동명동),음식점
69,강원,속초시,호스텔,더 티(the T),권혜주,영업중,,,지상5,409 ,953 ,7 ,강원도 속초시 해오름로 151 (조양동),"라운지, 편의점 등"
70,강원,속초시,호스텔,속초비치호스텔,최정자,영업중,,,지상3,240 ,501 ,8 ,강원도 속초시 해오름로 129 (대포동),"문화교류시설, 식품접객업"
71,강원,정선군,호스텔,예미MTB마을호스텔,정선군수,영업중,,,지상 3층,"3,301 ",980 ,10 ,강원도 정선군 신동읍 용수길 68,
72,강원,화천군,호스텔,화천열차펜션,코레일관광개발㈜,휴업,,,지상1층 ,"3,403 ",605 ,21 ,강원도 화천군 하남면 춘화로 3331-12,
73,강원,양구군,호스텔,LACKY HOSTEL(락희호스텔),최성대,영업중,,,지상4층 ,256 ,584 ,10 ,강원도 양구군 양구읍 비봉로 99-3,"커뮤니티 룸, 세탁실 등"
74,강원,양양군,호스텔,파크애비뉴,정대준,영업중,,,지상3층 ,"3,240 ","1,105 ",12 ,양양군 현남면 북분안길 29,공동취사장
75,강원,양양군,호스텔,서프더맨션,"조좌겸, 김진",영업중,,,지상2층 ,"1,275 ","1,943 ",6 ,양양군 현남면 인구중앙길 79,공동취사장
76,강원,양양군,호스텔,메종드메르,김미옥,영업중,,,지상4층 ,"1,322 ",837 ,11 ,양양군 현남면 동해대로 694,공동휴게실
77,강원,양양군,호스텔,핀스하우스호스텔,유남열,영업중,,,지상3층 ,"1,635 ","1,382 ",13 ,양양군 현남면 인구중앙길 99,"소매점, 휴게음식점"
78,강원,강릉시,소형호텔,하슬라아트월드,박신정,영업중,2성급,2018.12.06,"(지하3층, 지상3층)","108,596 ","5,866 ",24 ,강릉시 강동면 율곡로 1441,"야외미술관, 박물관, 전망대 등"
79,강원,속초시,소형호텔,브루클린호텔,최원우,영업중,,,지상5,354 ,994 ,22 ,강원도 속초시 청초호반로 107 (조양동),"식당, 비즈니스룸"
80,강원,춘천시,콘도미니엄,엘스위트강촌휴양콘도,지에스건설주식회사,영업중,,,지하1층~지상15층 ,"1,023,991 ","51,235 ",222 ,춘천시 남산면 백양리 산1-2,"식당, 사우나, 야외수영장"
81,강원,춘천시,콘도미니엄,라비에벨 콘도 1차,"코오롱글로벌 주식회사
그린나래 주식회사",영업중,,,지상2층 ,"45,063 ","3,653 ",34 ,춘천시 동산면 조양리 산166-1,"식당, 노래방"
