관광숙박업 등록현황 (20.12.31기준),,,,,,,,,,,,,,
번호,"지역1
(시도)","지역2
(시군구)",업종,호텔명(등록명칭),"관광사업자명
(법인명 or 개인명)","영업상태
(19.12.31기준)",현행 호텔등급,,시설개요,,,객실수,주소(도로명주소),부대시설
,,,,,,,등급,등급부여일,층수(지하~지상),"대지면적
(㎡)","건축연면적
(㎡)",,,
285,대구,수성구,관광호텔,호텔수성,㈜호텔수성,영업중,-,-,지하1층~지상4층 ," 75,677 "," 47,135 ",180 ,대구 수성구 용학로 106-7,"일반음식점, 웨딩홀, 연회장, 피트니스, 이발소, 체육시설 등"
286,대구,수성구,관광호텔,그랜드관광호텔,㈜그랜드관광호텔,영업중,4성,2018.10.10.,지하4층~지상11층 ," 4,063 "," 24,448 ",150 ,대구 수성구 동대구로 305,"일반음식점, 연회장, 국제회의장, 체육시설, 사우나 등"
287,대구,수성구,관광호텔,호텔아리아나,㈜아리아나,영업중,3성,2018.07.17.,지하1층~지상9층 ," 2,905 "," 7,745 ",52 ,대구 수성구 동대구로 27,"일반음식점, 카페, 연회장 등"
288,대구,달서구,관광호텔,에이더블유호텔,㈜에이더블유호텔,영업중,3성,2019.12.30.,지하2층~지상10층," 2,648 "," 16,797 ",54,대구 달서구 성서로 413,"웨딩홀,음식점,연회장,커피숍 등"
289,대구,달서구,관광호텔,크리스탈관광호텔,㈜크리스탈관광호텔,영업중,1성,2018.1.10.,지하2층~지상10층," 3,403 "," 9,999 ",70,대구 달서구 달구벌대로 1910,유흥주점
290,대구,달서구,관광호텔,호텔엘리시아,김건훈,영업중,2성,2019.10.2.,지하1층~지상6층," 4,998 ", 787 ,61,대구 달서구 갈밭남로 45,"카페,레스토랑"
291,대구,달성군,관광호텔,㈜파라다이스 온천호텔,㈜파라다이스 온천호텔,휴업중,-,-,지하1층~지상3층," 7,890 "," 6,896 ",33,"대구광역시 달성군 논공읍 하리 509번지 외
(달성군 논공읍 약산덧재길 81)","목욕장, 단란주점, 음식점 등"
292,대구,달성군,관광호텔,호텔G,나근숙,영업중,2성,20.12.03.,지하1층~지상7층," 1,601 "," 3,468 ",44,"대구광역시 달성군 구지면 내리 841-7
(달성군 구지면 달성2차동1로 145)","휴게실, 커피숍, 유흥주점 등"
293,대구,달성군,관광호텔,칸 호텔,김종호,영업중,1성,17.10.20.,지하1층~지상7층," 1,601 "," 3,468 ",44,"대구광역시 달성군 구지면 내리 841-6
(달성군 구지면 달성2차동1로 141)","휴게실, 커피숍, 유흥주점 등"
294,제주특별자치도,제주시,관광호텔,(주)호텔하니크라운,㈜크라운에셋,영업중,미등급,,지상4~지하1,"8,098.70 ","5,257.72 ",61,제주시 삼성로 10  (이도일동),
295,제주특별자치도,제주시,관광호텔,제주KAL호텔,㈜칼호텔네트워크,영업중,5성급,2018.07.01.,지상15~지하2,"12,525.74 ","37,885.27 ",282,제주시 중앙로 151  (이도일동) ,"연회장,카지노,실내수영장,헬스장,미용실,음식점 등"
296,제주특별자치도,제주시,관광호텔,"글래드호텔앤리조트(주)
메종글래드제주 (구 오라관광㈜메종 글래드 제주)",글래드호텔앤리조트(주),영업중,5성급,2017.06.30.,지상11~지하1,"24,745.00 ","55,144.60 ",513,제주시 노연로 80  (연동),"키즈카페, 음식점, 편의점, 미용실,옥외수영장, 휘트니스, 사우나 등"
297,제주특별자치도,제주시,관광호텔,제주썬호텔,㈜지앤엘,휴업중,미등급,,지하2~지상9,"4,955.80 ","24,127.93 ",203,제주시 삼무로 67  (연동) ,"한식,중식,뷔페(양식,경양식),휘트니스클럽(요가룸포함), 남녀사우나, Bar, 세미나실, 실내 골프연습장, 노래연습장, 피부관리실, 연회장, 비지니스센터"
298,제주특별자치도,제주시,관광호텔,제주로얄호텔,(유)형석,영업중,미등급,,지상9~지하2,"2,414.00 ","11,517.48 ",126,제주시 신대로12길 45 (연동),
299,제주특별자치도,제주시,관광호텔,제주마리나관광호텔,조양개발㈜,영업중,3성급,2017.11.30.,지상7~지하1,"2,360.40 ","4,781.53 ",64,제주시 신대로 45  (연동),
300,제주특별자치도,제주시,관광호텔,제주팔레스호텔,제주팔레스개발㈜,영업중,미등급,,지상9~지하1,854.00 ,"4,995.33 ",94,제주시 탑동로 9(삼도이동),연회장
301,제주특별자치도,제주시,관광호텔,제주서울관광호텔,㈜아라리오,휴업중,미등급,,지상7~지하1,"1,175.00 ","5,955.75 ",108,제주시 탑동로 5(삼도이동),
302,제주특별자치도,제주시,관광호텔,펄호텔 제주(구 제주펄관광호텔),"강성이, 김석환",영업중,미등급,,지상5~지하2,"3,597.60 ","6,245.39 ",88,제주시 신대로20길 49  (연동),
303,제주특별자치도,제주시,관광호텔,제주아일랜드호텔리조트,"㈜제주아일랜드
호텔리조트",영업중,미등급,,지하2~지상7,"1,438.00 ","3,287.00 ",101,제주시 애월읍평화로 2477,
304,제주특별자치도,제주시,관광호텔,제주오리엔탈호텔,삼광개발㈜,영업중,5성급,2017.06.30.,지상10~지하2,"6,589.88 ","25,225.66 ",321,제주시 탑동로 47(삼도이동),
305,제주특별자치도,제주시,관광호텔,삼해인관광호텔,나승재,휴업중,3성급,2018.07.01.,지상10~지하2,"1,532.60 ","6,156.87 ",86,제주시 도령로 108  (연동),
306,제주특별자치도,제주시,관광호텔,호텔 스카이파크,㈜아이큐웰,영업중,3성급,2018.12.09.,지상9~지하2,"1,356.90 ","8,195.14 ",147,제주시 삼무로 48(연동),
307,제주특별자치도,제주시,관광호텔,라자관광호텔,㈜러스코,영업중,2성급,2018.01.31.,지상6~지하1,"1,242.40 ","4,910.33 ",99,제주시 연동6길 33  (연동),
308,제주특별자치도,제주시,관광호텔,제주퍼시픽호텔,㈜금자탑,영업중,4성급,2017.06.30,지하2~지상11,"4,546.00 ","17,042.09 ",177,제주시 서사로 20  (용담일동) ,
309,제주특별자치도,제주시,관광호텔,뉴 아일랜드 관광호텔,강숙자,영업중,미등급,,지상7~지하2,"1,369.70 ","6,625.06 ",100,제주시 연동6길 17 (연동),
310,제주특별자치도,제주시,관광호텔,스타즈호텔 제주 로베로,㈜모두스테이,영업중,3성급,2019.03.27.,지상8~지하3,"1,707.97 ","10,196.60 ",121,제주시 관덕로 26 (삼도이동),
311,제주특별자치도,제주시,관광호텔,제주선샤인호텔,조병규,영업중,3성급,2018.12.09.,지상4~지하1,"4,583.00 ","5,988.90 ",72,제주시 조천읍 신북로 481-9(함덕리),
312,제주특별자치도,제주시,관광호텔,뉴코리아호텔,김대필,영업중,2성급,2017.06.30.,지상7~지하2,726.60 ,"3,699.10 ",73,제주시 은남길 37  (연동),
313,제주특별자치도,제주시,관광호텔,메이더호텔,㈜더라임,영업중,3성급,2017.06.30.,지상3~지하1,"5,550.00 ","3,492.73 ",54,제주시 구좌읍 일주동로 1626,"일반음식점, 커피숍, 노래연습장, 연회장, 야외풀장"
314,제주특별자치도,제주시,관광호텔,금룡관광호텔,㈜덕은,영업중,미등급,,지상10~지하1,744.80 ,"5,275.12 ",70,제주시 삼무로 79(연동),
315,제주특별자치도,제주시,관광호텔,코쿤애월,이정윤,영업중,미등급,,지상4~지하1,"2,414.00 ","1,748.55 ",30,제주시 애월읍 중엄3길 50,
316,제주특별자치도,제주시,관광호텔,라마다프라자제주호텔,더케이제주호텔㈜,영업중,5성급,2019.09.09.,지상9~지하1,"19,812.90 ","63,833.89 ",400,제주시 탑동로 66  (삼도이동),"일반음식점, 수영장 헬스장, 사우나,연회장 등"
317,제주특별자치도,제주시,관광호텔,오션그랜드호텔,㈜오션그랜드호텔,영업중,3성급,2019.12.05.,지상7~지하1,"1,035.00 ","4,288.32 ",74,제주시 조천읍 조함해안로 490(함덕리),"한식당(지항1, 407.17㎡), 일식당(지상1, 96.06㎡), 
커피숍(지상1, 53.2㎡), 강당 및 연회장(지상7, 304.66㎡)"
318,제주특별자치도,제주시,관광호텔,(주)블랙스톤리조트,㈜블랙스톤리조트,영업중,2성급,2019.05.26.,지하1~지상2,"10,677.00 ","7,966.46 ",36,제주시 한림읍 한창로 925-122,
319,제주특별자치도,제주시,관광호텔,뉴맨하탄관광호텔,고용관외 1,영업중,미등급,,지상6~지하1,644.50 ,"2,483.71 ",56,제주시 도령로 66(연동),
320,제주특별자치도,제주시,관광호텔,호텔라온제주,라온레저개발(주),영업중,3성급,2019.12.05.,지상7,"746,258.30 ","12,592.93 ",51,제주시 한림읍 금능남로 127,
321,제주특별자치도,제주시,관광호텔,파크사이드관광호텔,㈜에이비씨디리츠,영업중,미등급,,지상8~지하2,643.70 ,"3,828.50 ",70,제주시 도령로 126(연동),
322,제주특별자치도,제주시,관광호텔,애플관광호텔(구. 하이트 관광호텔),㈜제이,영업중,미등급,,지상7~지하1,500.80 ,"2,047.60 ",40,제주시 동광로 45 (이도일동),
323,제주특별자치도,제주시,관광호텔,관광호텔 더레드,임성만,영업중,미등급,,지상8~지하1,543.20 ,"2,705.87 ",59,제주시 동광로6길 10 (이도이동),
324,제주특별자치도,제주시,관광호텔,엠버시티호텔(구.아이비호텔),명양㈜,영업중,미등급,,지상9~지하1,343.50 ,"2,666.32 ",51,제주시 노연로 13(노형동),일반음식점(29.58㎡)
325,제주특별자치도,제주시,관광호텔,퓨어스테이호텔,㈜피트,영업중,1성급,2017.06.30.,지상5~지하1,860.10 ,"1,612.23 ",43,제주시 신대로 68(연동),휴게음식점(157.02㎡)
326,제주특별자치도,제주시,관광호텔,호텔루트,(주)에스에듀,영업중,미등급,,지상5~지하1,"1,144.40 ","3,024.70 ",77,제주시 고마로15길 33(일도이동),
327,제주특별자치도,제주시,관광호텔,올레관광호텔,㈜송우개발,영업중,미등급,,지상13~지하1,386.00 ,"2,799.60 ",71,제주시 서광로 254(삼도일동),
328,제주특별자치도,제주시,관광호텔,로긴호텔(구.호텔오슬로),(주)오슬로,영업중,미등급,,지상4~지하1,"2,060.00 ","2,490.51 ",31,제주시 서해안로 442-9(용담삼동),
329,제주특별자치도,제주시,관광호텔,엠버호텔,(주)엠버서더,영업중,미등급,,지상5~지하2,"1,071.00 ","4,995.24 ",72,제주시 삼무로 12(연동),
330,제주특별자치도,제주시,관광호텔,해호텔,전순자,영업중,미등급,,지상4~지하1,"1,486.00 ","1,230.74 ",32,제주시 서해안로 526(용담삼동),
331,제주특별자치도,제주시,관광호텔,롯데시티호텔 제주,㈜호텔롯데,영업중,4성급,2017.11.30.,지상22~지하4,"6,174.40 ","43,172.25 ",262,제주시 도령로 83(연동),"레스토랑, 베이커리, 수영장, 휘트니스센터, 미팅룸, 코인세탁실 등 (19.12.현재)"
332,제주특별자치도,제주시,관광호텔,엠버호텔 센트럴(구.이비사호텔),㈜예승,영업중,미등급,,지상14~지하1,766.80 ,"5,963.13 ",130,제주시 노연로 24(노형동),
333,제주특별자치도,제주시,관광호텔,씨앤제이관광호텔(구.씨제이관광호텔),박영금,영업중,1성급,2019.05.26.,지상8,346.10 ,"1,340.53 ",36,제주시 광양8길 24(이도2동),"휴게음식점, 커피숍, 로비"
334,제주특별자치도,제주시,관광호텔,제주미주호텔,임장혁,영업중,미등급,,지상4~지하1,"1,438.80 ","3,287.76 ",76,제주시 신대로 60(연동),
335,제주특별자치도,제주시,관광호텔,호텔 컬리넌,㈜대한에프에스,영업중,미등급,,지상10~지하1,396.80 ,"2,305.94 ",59,제주시 사장1길 26(연동),
336,제주특별자치도,제주시,관광호텔,골든파크관광호텔,전영순,영업중,미등급,,지상5~지하1,317.20 ,"1,313.61 ",38,제주시 서광로2길 9(오라일동),
337,제주특별자치도,제주시,관광호텔,오라관광호텔,오라관광호텔㈜,영업중,미등급,,지상4~지하1,"2,447.00 ","2,385.58 ",61,제주시 연북로 217(오라이동),
338,제주특별자치도,제주시,관광호텔,씨앤관광호텔,㈜태성토산,영업중,미등급,,지상4~지하1,"2,144.00 ","2,704.55 ",60,제주시 일주서로 7490(내도동),
339,제주특별자치도,제주시,관광호텔,팜파스호텔 제주(구. 제주팜파스호텔/구.씨엘블루호텔),㈜인자이프,영업중,3성급,2018.04.30.,지상4~지하1,"4,593.00 ","4,240.53 ",85,제주시 서해안로 368-3(용담삼동),
340,제주특별자치도,제주시,관광호텔,루스톤호텔,㈜)제주마레,영업중,미등급,,지상2,"9,991.00 ","3,793.94 ",42,제주시 애월읍 애월해안로 408,
341,제주특별자치도,제주시,관광호텔,루스톤빌라앤호텔,양원영,영업중,미등급,,지상2,"9,986.00 ","2,951.21 ",38,제주시 애월읍 애월해안로 406,
342,제주특별자치도,제주시,관광호텔,그라벨 호텔,한성개발㈜,영업중,4성급,2019.03.06.,지상9~지하2층,"1,922.00 ","8,245.30 ",141,제주시 일주서로 7316(외도일동),"레스토랑&카페, 연회장A,B"
343,제주특별자치도,제주시,관광호텔,HOTEL LEO,㈜의인,영업중,미등급,,지상13~지하1,592.00 ,"5,191.26 ",95,제주시 삼무로 14(연동),
344,제주특별자치도,제주시,관광호텔,아이진호텔(구 베니키아 아이진 호텔),㈜아이진,영업중,3성급,2018.04.30.,지상10~지하1,619.90 ,"3,342.94 ",75,제주시 신대로 22길 4,
345,제주특별자치도,제주시,관광호텔,아스타호텔,㈜도림에스디씨,영업중,4성급,2018.07.01.,지상9~지하1,"1,776.30 ","9,585.98 ",130,제주시 서사로 129,
346,제주특별자치도,제주시,관광호텔,심스호텔(구.다이아나호텔),㈜미륭,영업중,미등급,,지상9~지하1,984.60 ,"3,062.11 ",92,제주시 임항로 249(건입동),
347,제주특별자치도,제주시,관광호텔,케이 관광호텔,김흥성외 1,영업중,미등급,,지상9~지하1,426.10 ,"2,308.33 ",41,제주시 연동3길 10(연동),
348,제주특별자치도,제주시,관광호텔,애월바다호텔 제주(구. 베니키아호텔 제주),고용관,영업중,미등급,,지상4~지하2,"2,731.00 ","3,692.19 ",94,제주시 애월읍 애월해안로 554-10,"일반음식점, 회의실, 매점"
349,제주특별자치도,제주시,관광호텔,유니호텔,㈜유니,영업중,미등급,,지상4,"8,338.00 ","5,811.20 ",62,제주시 애월읍 애월해안로 656,"레스토랑, 연회장, 일반음식점(별관), 야외공연시설(별관)"
350,제주특별자치도,제주시,관광호텔,사하라,김삼환,영업중,1성급,2017.06.30.,지상8~지하1,526.60 ,"2,065.11 ",37,제주시 서광로 265(삼도1동),
351,제주특별자치도,제주시,관광호텔,신라스테이제주,㈜호텔신라,영업중,4성급,2018.09.30.,지상11~지하3,"2,631.50 ","19,994.19 ",301,제주시 노연로 100(연동),
352,제주특별자치도,제주시,관광호텔,제니아관광호텔,"김길철, 오정향",영업중,미등급,,지상9~지하2,628.00 ,"4,058.29 ",67,제주시 은남1길 25(연동),
353,제주특별자치도,제주시,관광호텔,제주갤럭시호텔,㈜캘럭시,영업중,3성급,2018.09.30.,지상6~지하1,"1,187.00 ","3,307.42 ",85,제주시 남성로 33(용담일동),
354,제주특별자치도,제주시,관광호텔,베니키아호텔제주(구. 뉴베니키아호텔제주),㈜베니카아호텔제주,영업중,미등급,,지하1~지상4,"3,059.00 ","2,991.41 ",88,제주시 애월읍 애월해안로 554-6(신엄리),"음식점, 야외수영장 "
355,제주특별자치도,제주시,관광호텔,플로라호텔해마,뤼이에플로라호텔해마(주) ,영업중,미등급,,지상15~지하1,392.10 ,"3,607.66 ",89,제주시 삼무로 28(연동),
356,제주특별자치도,제주시,관광호텔,에스호텔,에스호텔㈜,영업중,미등급,,지상4~지하1,"3,710.00 ","4,545.26 ",88,제주시 오일장중길 26(도두일동),"레스토랑,커피숍,대연회장,소회의실,수영장"
357,제주특별자치도,제주시,관광호텔,블랙샌즈관광호텔,㈜위너스,영업중,3성급,2019.05.26.,지상5~지하1,"1,629.70 ","3,493.31 ",78,제주시 선사로 8(삼양2동),
358,제주특별자치도,제주시,관광호텔,호텔더원,㈜호텔더원,영업중,4성급,2019.05.26.,지상10~지하2,"1,295.50 ","3,977.98 ",180,제주시 사장3길 33(연동),
359,제주특별자치도,제주시,관광호텔,제주인관광호텔,㈜제주인,영업중,미등급,,지상4~지하1,"3,968.00 ","4,637.49 ",79,제주시 신산마을길 20(내도동),
360,제주특별자치도,제주시,관광호텔,제주코아관광호텔,최수만,영업중,1성급,2017.06.30.,지상7~지하1,830.90 ,"4,239.87 ",65,제주시 신대로 148(연동),
361,제주특별자치도,제주시,관광호텔,하버관광호텔,박병성외 1,영업중,2성급,2017.06.30.,지상7~지하1,286.10 ,998.61 ,30,제주시 임항로 260(건입동),
362,제주특별자치도,제주시,관광호텔,탐라스테이,㈜탐라스테이 ,영업중,미등급,,지상4~지하1,"4,998.00 ","7,062.96 ",116,제주시 애월읍 애월해안로 881,
363,제주특별자치도,제주시,관광호텔,스카이힐비즈니스 관광호텔,㈜올레관광개발,영업중,미등급,,지하1~지상14,346.00 ,"2,713.83 ",78,제주시 서광로24길 1(삼도일동),
364,제주특별자치도,제주시,관광호텔,슬림관광호텔,황다영,영업중,미등급,,지하1~지상10,248.00 ,"1,344.94 ",42,제주시 서광로 292-1(이도이동),
365,제주특별자치도,제주시,관광호텔,플로라제주 제이드림호텔,뤼위에제주드림매니지먼트㈜,휴업중,미등급,,지하1~지상10,363.60 ,"2,497.30 ",77,제주시 은남1길 40(연동),
366,제주특별자치도,제주시,관광호텔,어반아일랜드호텔,정혜숙,영업중,3성급,2018.01.31.,지하1~지상11,450.70 ,"3,030.49 ",70,제주시 삼무로 76(연동),
367,제주특별자치도,제주시,관광호텔,더스테이센추리호텔,㈜더스테이인애월,영업중,2성급,2019.07.24.,지하1~지상4,"3,016.00 ","4,991.60 ",91,제주시 애월읍 일주서로 7113,"세미나실, 레스토랑, 커피숍, 치킨바(일반), 정보교류장"
368,제주특별자치도,제주시,관광호텔,오드리 인,㈜갤러리,영업중,3성급,2017.06.30.,지하1~지상4,"3,093.00 ","4,472.33 ",82,제주시 서해안로 100(이호일동),
369,제주특별자치도,제주시,관광호텔,스위트캐슬(구.Best One 관광호텔),㈜늘푸름개발,영업중,미등급,,지하1~지상4,"4,767.00 ","4,085.65 ",90,제주시 조천읍 신북로 443,"휴게음식점, 일반음식점, 비즈니스센터"
370,제주특별자치도,제주시,관광호텔,호텔난타,㈜피엠씨프러덕션,영업중,4성급,2018.01.31.,지하2~지상5,"19,075.00 ","15,710.80 ",204,제주시 선돌목동길 56-26  (오등동),"레스토랑, 연회장, 세미나실"
371,제주특별자치도,제주시,관광호텔,(주)호텔샬롬,㈜호텔샬롬,영업중,4성급,2018.04.30.,지하5~지상17,"1,149.10 ","14,161.47 ",176,제주시 동광로 34(이도이동),"레스토랑, 회의실, 컨벤션홀, 휘트니스센터, 비지니스센터,
 휴게음식점"
372,제주특별자치도,제주시,관광호텔,제주레슬리호텔,(유)레슬리,영업중,미등급,,지하2~지상4,"3,109.00 ","4,216.73 ",96,제주시 광평길 3(노형동),일반음식점
373,제주특별자치도,제주시,관광호텔,제주노블레스 관광호텔,㈜태대산,영업중,미등급,,지하1~지상4,"6,304.00 ","10,622.03 ",150,제주시 월성로4길 19(용담이동),"레스토랑, 문화정보교류시설"
374,제주특별자치도,제주시,관광호텔,호텔 시리우스,㈜한반도개발,영업중,4성급,2018.12.09.,지하5~지상10,"2,125.50 ","19,165.22 ",280,제주시 도령로 133(연동),"레스토랑, 수영장, 휘트니스장, 연회장, 비지니스센터"
375,제주특별자치도,제주시,관광호텔,다인오세아노호텔,㈜다인리조트,영업중,4성급,2018.12.09.,지하2~지상4,"6,087.00 ","7,526.25 ",83,제주시 애월읍 애월해안로 394,"커피숍, 수영장, 세미나실, 비지니스센터"
376,제주특별자치도,제주시,관광호텔,시티홀관광호텔제주,㈜홍도개발,영업중,2성급,2019.09.09.,지하1~지상8,268.80 ,"1,331.10 ",30,제주시 동광로4길 9-4(이도이동),비즈니스센터
377,제주특별자치도,제주시,관광호텔,그랜드하얏트 제주,롯데관광개발(주),영업중,5성급,2021.01.07.,지하6~지상38,"11,966.62","155,013.05",750,제주시 노연로 12(노형동),"일반음식점, 휴게음식점, 목욕장,미용업,게임제공업,제과점,체력단련장업"
378,제주특별자치도,제주시,가족호텔,꼬뜨도르가족호텔,㈜꼬또드르(대표 부성욱),영업중,,,지상3~지하1,"2,479.00 ","1,811.68 ",30,제주시 구좌읍 일주동로 1724 ,
379,제주특별자치도,제주시,가족호텔,그림리조트,장경이,영업중,,,지상4,"3,600.00 ","1,599.54 ",30,제주시 서해안로 620-1  (용담삼동) ,
380,제주특별자치도,제주시,가족호텔,다인리조트,㈜다인리조트,영업중,,,지상4~지하1,"3,577.00 ","2,572.47 ",43,제주시 애월읍 애월해안로 400-9 (고내리),
381,제주특별자치도,제주시,가족호텔,올레리조트,㈜브릿지호텔앤드리조트,영업중,,,지하1~지상3,"11,735.00 ","5,899.76 ",53,제주시 애월읍 부룡수길 33(신엄리),"일반음식점, 매점, 야외수영장, 퍼팅장, 세미나실"
382,제주특별자치도,제주시,가족호텔,베스트웨스턴 제주호텔,㈜비지에이치코리아,영업중,,,지하5~지상17,"1,928.00 ","27,483.60 ",350,제주시 도령로 27  (노형동),
383,제주특별자치도,제주시,가족호텔,다인리조트 투(2차),㈜다인리조트,영업중,,,지상4~지하1,"4,920.00 ","2,190.50 ",33,제주시 애월읍 애월해안로 400-9,"음식점, 골프연습장, 야외공연장, 안내소, 소매점"
384,제주특별자치도,제주시,가족호텔,㈜아모렉스리조트,㈜아모렉스리조트,영업중,,,지상4~지하1,"8,961.00 ","10,231.42 ",173,제주시 서해안로 216 (도두일동),"탁구장, 세탁실, 컴퓨터실, 세미나실, 미팅룸, 실내놀이터 등 (11년 등록시)"
385,제주특별자치도,제주시,가족호텔,제주나인리조트,김희준,영업중,,,지상4~지하1,"4,296.00 ","3,129.54 ",30,제주시 해안마을북길 14-5(해안동),
386,제주특별자치도,제주시,가족호텔,㈜하바나호텔앤리조트 (구.하바나리조트),㈜하바나호텔앤리조트,영업중,,,지상4~지하1,"3,000.00 ","2,904.64 ",36,제주시 구좌읍 해맞이해안로 1590-6(하도리) ,"실내외수영장, 노래방, 스크린골프, 피부관리실 등"
387,제주특별자치도,제주시,가족호텔,부띠끄호텔 빌라드애월,에스엠하이플러스카드㈜,영업중,,,지상4~지하1,"28,624.00 ","7,615.46 ",53,제주시 애월읍 애월해안로 516-7(신엄리),"레스토랑, 스크린골프, 야외수영장, 회의실 "
388,제주특별자치도,제주시,가족호텔,로긴리조트,㈜로긴,영업중,,,지상4~지하1,"2,830.00 ","1,999.74 ",31,제주시 서해안로 442-11  (용담삼동),"옥외수영장, 휴게음식점"
389,제주특별자치도,제주시,가족호텔,블루하와이리조트,문후금외 1,영업중,,,지상4~지하1,"9,784.00 ","6,756.55 ",86,제주시 한림읍 한림로 77(금능리),"일반음식점(지하1-511.5㎡, 지상1-103.41㎡), 체력단련장(지하1, 592.66㎡), 야외수영장, 매점(지상1), 세미나실"
390,제주특별자치도,제주시,가족호텔,제주에어포트호텔,지피㈜,영업중,,,지상10~지하1,457.70 ,"2,589.81 ",64,제주시 도령로 102(연동),
391,제주특별자치도,제주시,가족호텔,오션패밀리호텔 (구 오션패밀리호텔 스토리),㈜패밀리호텔,영업중,,,지하1~지상2,"1,520.00 ","1,748.58 ",30,제주시 일주서로 7531(이호일동),
392,제주특별자치도,제주시,가족호텔,홍익제주호텔,씨에이치개발㈜,영업중,,,지상4~지하1,"9,960.00 ","8,830.78 ",96,제주시 한림읍 일주서로 5125,
393,제주특별자치도,제주시,가족호텔,㈜호텔샹그릴라(구.호텔펄리),㈜호텔샹그릴라,영업중,,,지상4~지하1,"6,442.00 ","5,654.80 ",124,제주시 노형로 79  (해안동),"일반음식점, 세미나실, 비지니스센터, 바베큐장, 야외수영장"
394,제주특별자치도,제주시,가족호텔,아인피플 호텔,㈜프라미스,영업중,,,지상4~지하1,"3,098.00 ","3,741.38 ",51,제주시 논세길 51(내도동),
395,제주특별자치도,제주시,가족호텔,샹그릴라호텔,덕림㈜,영업중,,,지상4~지하1,"9,998.00 ","8,355.29 ",198,제주시 해안마을북길 14-6(해안동),
396,제주특별자치도,제주시,가족호텔,에코그린리조트(구.에코패밀리호텔),에코패밀리호텔㈜,영업중,,,지상4~지하1,"13,323.00 ","10,091.39 ",90,제주시 한림읍 귀덕6길 94(귀덕리),"연회장, 일반음식점, 편의점, 수영장"
397,제주특별자치도,제주시,가족호텔,이화호텔,㈜모닝,영업중,,,지상4~지하1,"2,612.00 ","2,577.41 ",64,제주시 도령로 155(용담이동),
398,제주특별자치도,제주시,가족호텔,마레보가족호텔,㈜마레보,영업중,,,지상4~지하1,"29,754.00 ","8,441.75 ",95,제주시 애월읍 신엄안3길 135,"연회장, 일반음식점, 휴게음식점, 야외수영장"
399,제주특별자치도,제주시,가족호텔,더제주리조트,오안기,영업중,,,지상4~지하1,"7,699.00 ","5,475.70 ",72,제주시 한림읍 협재로 226,
400,제주특별자치도,제주시,가족호텔,수앤수리조트(구.수앤수가족호텔),㈜수앤수제주,영업중,,,지상4~지하2,"4,921.00 ","3,124.27 ",40,제주시 애월읍 부룡수길 60,"일반음식점, 매점 등"
401,제주특별자치도,제주시,가족호텔,리치호텔,㈜란해,영업중,,,지상2~지하1,"2,896.00 ","2,388.44 ",32,제주시 애월읍 고내로13길 100,
402,제주특별자치도,제주시,가족호텔,도두봉호텔(구. 해든호텔),㈜환웅,영업중,,,지상4~지하1,"1,405.00 ","1,669.14 ",36,제주시 서해안로 204(도두일동),커피숍
403,제주특별자치도,제주시,가족호텔,호텔펄리플러스,㈜보민,영업중,,,지상4~지하1,"4,988.00 ","6,013.43 ",125,제주시 도두봉2길 2(도두일동),
404,제주특별자치도,제주시,가족호텔,블루하와이호텔,㈜블루하와이호텔,영업중,,,지하1~지상4,"5,249.00 ","4,537.57 ",99,제주시 한림읍 한림로 75,
405,제주특별자치도,제주시,가족호텔,샐리스 제주호텔,㈜샐리스,영업중,,,지하1~지상4,"3,387.00 ","3,353.44 ",55,제주시 애월읍 고내로 46(하가리),"식당, 정보교류실 등 (등록심의서상)
공동취사장, 세탁실, 투숙객용조식당(시설별 일람표상)"
406,제주특별자치도,제주시,가족호텔,아길라 호텔,㈜포안,영업중,,,지하2~지상4,"4,655.00 ","1,712.18 ",32,제주시 한림읍 옹포2길 10(협재리),휴게음식점
407,제주특별자치도,제주시,가족호텔,스카이호텔,오유진,영업중,,,지하1~지상4,970.00 ,"1,107.11 ",31,제주시 한림읍 한림로 917,
408,제주특별자치도,제주시,가족호텔,블루스프링 부띠끄 호텔,김수정외 1,영업중,,,지하1~지상5,611.00 ,"1,663.55 ",31,제주시 한림읍 한림로 330,까페
409,제주특별자치도,제주시,가족호텔,통나무파크,권영찬,영업중,,,지상1,"4,990.00 ",660.00 ,30,제주시 애월읍 도치돌길 293,"휴게음식점, 휴게공간"
410,제주특별자치도,제주시,호스텔,아마스빌 호스텔,유재경외 2,영업중,,,지상3,"3,011.00 ","1,725.12 ",20,제주시 애월읍 신엄안3길 101,
411,제주특별자치도,제주시,호스텔,스웨덴호스텔,김민식외 4,영업중,,,지상2,"4,232.00 ","1,350.46 ",28,제주시 한림읍 명재로 100-47 ,
412,제주특별자치도,제주시,호스텔,해미안,조영식,영업중,,,지상4~지하1,"3,372.00 ","4,339.01 ",20,제주시 일주서로 7353  (외도이동),
413,제주특별자치도,제주시,호스텔,용두암캐빈,이선옥,영업중,,,지상4,"1,653.00 ","1,150.70 ",20,제주시 어영길 32  (용담삼동),
414,제주특별자치도,제주시,호스텔,에바다호스텔,박정란,영업중,,,지상3~지하1,"1,885.00 ","1,461.76 ",30,제주시 현사길 45  (이호일동),
415,제주특별자치도,제주시,호스텔,카이 호스텔,이월선,영업중,,,지상4층,"1,810.00 ","1,249.35 ",23,제주시 한림읍 협재2길 10,바비큐장
